0,1,2,3,4
Academy Award for Best Actress,201083rd Academy Awards,Natalie Portman,Black Swan,Nina Sayers
Academy Award for Best Actress,201083rd Academy Awards,Annette Bening,The Kids Are All Right,"Nicole ""Nic"" Allgood"
Academy Award for Best Actress,201083rd Academy Awards,Nicole Kidman,Rabbit Hole,Becca Corbett
Academy Award for Best Actress,201083rd Academy Awards,Jennifer Lawrence,Winter's Bone,Ree Dolly
Academy Award for Best Actress,201083rd Academy Awards,Michelle Williams,Blue Valentine,Cindy Heller
Academy Award for Best Actress,201184th Academy Awards,Glenn Close,Albert Nobbs,Albert Nobbs
Academy Award for Best Actress,201285th Academy Awards,Jennifer Lawrence,Silver Linings Playbook,Tiffany Maxwell
Academy Award for Best Actress,201285th Academy Awards,Jessica Chastain,Zero Dark Thirty,Maya
Academy Award for Best Actress,201285th Academy Awards,Emmanuelle Riva,Amour,Anne Laurent
Academy Award for Best Actress,201285th Academy Awards,Quvenzhané Wallis,Beasts of the Southern Wild,Hushpuppy
Academy Award for Best Actress,201285th Academy Awards,Naomi Watts,The Impossible,Maria Bennett
