0,1,2,3,4
Academy Award for Best Actor,1960(33rd),Burt Lancaster,Elmer Gantry,Elmer Gantry
Academy Award for Best Actor,1960(33rd),Trevor Howard,Sons and Lovers,Walter Morel
Academy Award for Best Actor,1960(33rd),Jack Lemmon,The Apartment,C. C. 'Bud' Baxter
Academy Award for Best Actor,1960(33rd),Laurence Olivier,The Entertainer,Archie Rice
Academy Award for Best Actor,1960(33rd),Spencer Tracy,Inherit the Wind,Henry Drummond
Academy Award for Best Actor,1961(34th),Maximilian Schell,Judgment at Nuremberg,Hans Rolfe
Academy Award for Best Actor,1961(34th),Charles Boyer,Fanny,Cesar
Academy Award for Best Actor,1961(34th),Paul Newman,The Hustler,Eddie Felson
Academy Award for Best Actor,1961(34th),Spencer Tracy,Judgment at Nuremberg,Chief Judge Dan Haywood
Academy Award for Best Actor,1961(34th),Stuart Whitman,The Mark,Jim Fuller
Academy Award for Best Actor,1962(35th),Burt Lancaster,Birdman of Alcatraz,Robert Stroud
Academy Award for Best Actor,1962(35th),Jack Lemmon,Days of Wine and Roses,Joe Clay
Academy Award for Best Actor,1962(35th),Marcello Mastroianni,"Divorce, Italian Style",Ferdinando Cefalù
Academy Award for Best Actor,1963(36th),Sidney Poitier,Lilies of the Field,Homer Smith
Academy Award for Best Actor,1963(36th),Albert Finney,Tom Jones,Tom Jones
Academy Award for Best Actor,1963(36th),Richard Harris,This Sporting Life,Frank Machin
Academy Award for Best Actor,1963(36th),Paul Newman,Hud,Hud Bannon
Academy Award for Best Actor,1964(37th),Rex Harrison,My Fair Lady,Professor Henry Higgins
Academy Award for Best Actor,1964(37th),Richard Burton,Becket,Thomas Becket
Academy Award for Best Actor,1964(37th),Peter O'Toole,Becket,King Henry II of England
Academy Award for Best Actor,1964(37th),Anthony Quinn,Zorba the Greek,Alexis Zorba
Academy Award for Best Actor,1964(37th),Peter Sellers,Dr. Strangelove,Group Captain Lionel MandrakePresident Merkin MuffleyDr. Strangelove
Academy Award for Best Actor,1965(38th),Lee Marvin,Cat Ballou,Kid ShelleenTim Strawn
Academy Award for Best Actor,1965(38th),Richard Burton,The Spy Who Came in from the Cold,Alec Leamas
Academy Award for Best Actor,1965(38th),Laurence Olivier,Othello,Othello
Academy Award for Best Actor,1965(38th),Rod Steiger,The Pawnbroker,Sol Nazerman
Academy Award for Best Actor,1965(38th),Oskar Werner,Ship of Fools,Willie Schumann
Academy Award for Best Actor,1966(39th),Paul Scofield,A Man for All Seasons,Sir Thomas More
Academy Award for Best Actor,1966(39th),Alan Arkin,"The Russians Are Coming, the Russians Are Coming",Lt. Rozanov
Academy Award for Best Actor,1966(39th),Richard Burton,Who's Afraid of Virginia Woolf?,George
Academy Award for Best Actor,1966(39th),Michael Caine,Alfie,Alfie Elkins
Academy Award for Best Actor,1966(39th),Steve McQueen,The Sand Pebbles,Jake Holman
Academy Award for Best Actor,1967(40th),Rod Steiger,In the Heat of the Night,Police Chief Bill Gillespie
Academy Award for Best Actor,1967(40th),Dustin Hoffman,The Graduate,Benjamin Braddock
Academy Award for Best Actor,1967(40th),Paul Newman,Cool Hand Luke,Luke Jackson
Academy Award for Best Actor,1967(40th),Spencer Tracy(posthumous nomination),Guess Who's Coming to Dinner,Matt Drayton
Academy Award for Best Actor,1968(41st),Cliff Robertson,Charly,Charly Gordon
Academy Award for Best Actor,1968(41st),Alan Arkin,The Heart Is a Lonely Hunter,John Singer
Academy Award for Best Actor,1968(41st),Alan Bates,The Fixer,Yakov Bok
Academy Award for Best Actor,1968(41st),Ron Moody,Oliver!,Fagin
Academy Award for Best Actor,1968(41st),Peter O'Toole,The Lion in Winter,King Henry II of England
Academy Award for Best Actor,1969(42nd),John Wayne,True Grit,Rooster Cogburn
Academy Award for Best Actor,1969(42nd),Dustin Hoffman,Midnight Cowboy,Enrico Salvatore 'Ratso' Rizzo
Academy Award for Best Actor,1969(42nd),Peter O'Toole,"Goodbye, Mr. Chips",Arthur Chipping
Academy Award for Best Actor,1969(42nd),Jon Voight,Midnight Cowboy,Joe Buck
