0,1,2,3,4
Academy Award for Best Actress,200073rd Academy Awards,Joan Allen,The Contender,Senator Laine Hanson
Academy Award for Best Actress,200073rd Academy Awards,Juliette Binoche,Chocolat,Vianne Rocher
Academy Award for Best Actress,200073rd Academy Awards,Ellen Burstyn,Requiem for a Dream,Sara Goldfarb
Academy Award for Best Actress,200073rd Academy Awards,Laura Linney,You Can Count on Me,Sammy Prescott
Academy Award for Best Actress,200174th Academy Awards,Halle Berry,Monster's Ball,Leticia Musgrove
Academy Award for Best Actress,200174th Academy Awards,Judi Dench,Iris,Iris Murdoch
Academy Award for Best Actress,200174th Academy Awards,Nicole Kidman,Moulin Rouge!,Satine
Academy Award for Best Actress,200174th Academy Awards,Sissy Spacek,In the Bedroom,Ruth Fowler
Academy Award for Best Actress,200174th Academy Awards,Renée Zellweger,Bridget Jones's Diary,Bridget Jones
Academy Award for Best Actress,200275th Academy Awards,Diane Lane,Unfaithful,Constance 'Connie' Sumner
Academy Award for Best Actress,200275th Academy Awards,Julianne Moore,Far from Heaven,Cathy Whitaker
Academy Award for Best Actress,200275th Academy Awards,Renée Zellweger,Chicago,Roxie Hart
Academy Award for Best Actress,200376th Academy Awards,Charlize Theron,Monster,Aileen Wuornos
Academy Award for Best Actress,200376th Academy Awards,Keisha Castle-Hughes,Whale Rider,Paikea Apirana
Academy Award for Best Actress,200376th Academy Awards,Diane Keaton,Something's Gotta Give,Erika Berry
Academy Award for Best Actress,200376th Academy Awards,Samantha Morton,In America,Sarah Sullivan
Academy Award for Best Actress,200376th Academy Awards,Naomi Watts,21 Grams,"Cristina ""Cris"" Williams Peck"
Academy Award for Best Actress,200477th Academy Awards,Hilary Swank,Million Dollar Baby,Maggie Fitzgerald
Academy Award for Best Actress,200477th Academy Awards,Annette Bening,Being Julia,Julia Lambert
Academy Award for Best Actress,200477th Academy Awards,Catalina Sandino Moreno,Maria Full of Grace,María Álvarez
Academy Award for Best Actress,200477th Academy Awards,Imelda Staunton,Vera Drake,Vera Rose Drake
Academy Award for Best Actress,200477th Academy Awards,Kate Winslet,Eternal Sunshine of the Spotless Mind,Clementine Kruczynski
Academy Award for Best Actress,200578th Academy Awards,Judi Dench,Mrs Henderson Presents,Laura Henderson
Academy Award for Best Actress,200578th Academy Awards,Felicity Huffman,Transamerica,"Sabrina ""Bree"" Osbourne"
Academy Award for Best Actress,200578th Academy Awards,Keira Knightley,Pride & Prejudice,Elizabeth Bennet
Academy Award for Best Actress,200578th Academy Awards,Charlize Theron,North Country,Josey Aimes
Academy Award for Best Actress,200679th Academy Awards,Helen Mirren,The Queen,Queen Elizabeth II
Academy Award for Best Actress,200679th Academy Awards,Penélope Cruz,Volver,Raimunda
Academy Award for Best Actress,200679th Academy Awards,Judi Dench,Notes on a Scandal,Barbara Covett
Academy Award for Best Actress,200679th Academy Awards,Meryl Streep,The Devil Wears Prada,Miranda Priestly
Academy Award for Best Actress,200679th Academy Awards,Kate Winslet,Little Children,Sarah Pierce
Academy Award for Best Actress,200780th Academy Awards,Marion Cotillard,La Vie en Rose,Édith Piaf
Academy Award for Best Actress,200780th Academy Awards,Cate Blanchett,Elizabeth: The Golden Age,Elizabeth I
Academy Award for Best Actress,200780th Academy Awards,Julie Christie,Away from Her,Fiona Anderson
Academy Award for Best Actress,200780th Academy Awards,Laura Linney,The Savages,Wendy Savage
Academy Award for Best Actress,200780th Academy Awards,Ellen Page,Juno,Juno MacGuff
Academy Award for Best Actress,200881st Academy Awards,Kate Winslet,The Reader,Hanna Schmitz
Academy Award for Best Actress,200881st Academy Awards,Anne Hathaway,Rachel Getting Married,Kym Buchman
Academy Award for Best Actress,200881st Academy Awards,Angelina Jolie,Changeling,Christine Collins
Academy Award for Best Actress,200881st Academy Awards,Melissa Leo,Frozen River,Ray Eddy
Academy Award for Best Actress,200881st Academy Awards,Meryl Streep,Doubt,Sister Aloysius Beauvier
Academy Award for Best Actress,200982nd Academy Awards,Sandra Bullock,The Blind Side,Leigh Anne Tuohy
Academy Award for Best Actress,200982nd Academy Awards,Helen Mirren,The Last Station,Sofya Tolstoy
Academy Award for Best Actress,200982nd Academy Awards,Carey Mulligan,An Education,Jenny Mellor
Academy Award for Best Actress,200982nd Academy Awards,Gabourey Sidibe,Precious,"Claireece ""Precious"" Jones"
Academy Award for Best Actress,200982nd Academy Awards,Meryl Streep,Julie & Julia,Julia Child
