0,1,2,3,4
Academy Award for Best Actor,2010(83rd),Javier Bardem,Biutiful,Uxbal
Academy Award for Best Actor,2010(83rd),Jeff Bridges,True Grit,Rooster Cogburn
Academy Award for Best Actor,2010(83rd),James Franco,127 Hours,Aron Ralston
Academy Award for Best Actor,2011(84th),Jean Dujardin,The Artist,George Valentin
Academy Award for Best Actor,2011(84th),Demián Bichir,A Better Life,Carlos Galindo
Academy Award for Best Actor,2011(84th),George Clooney,The Descendants,Matt King
Academy Award for Best Actor,2011(84th),Brad Pitt,Moneyball,Billy Beane
Academy Award for Best Actor,2012(85th),Bradley Cooper,Silver Linings Playbook,Pat
Academy Award for Best Actor,2012(85th),Hugh Jackman,Les Misérables,Jean Valjean
Academy Award for Best Actor,2012(85th),Joaquin Phoenix,The Master,Freddie Quell
Academy Award for Best Actor,2012(85th),Denzel Washington,Flight,William „Whip“ Whitaker
Academy Award for Best Actor,2013(85th),Matthew McConaughey,Dallas Buyers Club,Ron Woodroof
Academy Award for Best Actor,2013(85th),Christian Bale,American Hustle,Irving Rosenfeld
Academy Award for Best Actor,2013(85th),Bruce Dern,Nebraska,"Woodrow ""Woody"" T. Grant"
Academy Award for Best Actor,2013(85th),Chiwetel Ejiofor,12 Years a Slave,Solomon Northup
