0,1,2,3,4
Academy Award for Best Actor,1980(53rd),Robert Duvall,The Great Santini,Lieutenant Colonel Bull Meechum
Academy Award for Best Actor,1980(53rd),John Hurt,The Elephant Man,John Merrick
Academy Award for Best Actor,1980(53rd),Jack Lemmon,Tribute,Scottie Templeton
Academy Award for Best Actor,1981(54th),Henry Fonda,On Golden Pond,Norman Thayer
Academy Award for Best Actor,1981(54th),Warren Beatty,Reds,John Reed
Academy Award for Best Actor,1981(54th),Paul Newman,Absence of Malice,Michael Colin Gallagher
Academy Award for Best Actor,1983(56th),Robert Duvall,Tender Mercies,Mac Sledge
Academy Award for Best Actor,1983(56th),Tom Conti,"Reuben, Reuben",Gowan McGland
Academy Award for Best Actor,1983(56th),Tom Courtenay,The Dresser,Norman
Academy Award for Best Actor,1983(56th),Albert Finney,The Dresser,Sir
Academy Award for Best Actor,1984(57th),Albert Finney,Under the Volcano,Geoffrey Firmin
Academy Award for Best Actor,1984(57th),Sam Waterston,The Killing Fields,Sydney Schanberg
Academy Award for Best Actor,1985(58th),Jon Voight,Runaway Train,Oscar 'Manny' Manheim
Academy Award for Best Actor,1986(59th),Dexter Gordon,Round Midnight,Dale Turner
Academy Award for Best Actor,1986(59th),Bob Hoskins,Mona Lisa,George
Academy Award for Best Actor,1986(59th),James Woods,Salvador,Richard Boyle
Academy Award for Best Actor,1987(60th),William Hurt,Broadcast News,Tom Grunick
Academy Award for Best Actor,1987(60th),Marcello Mastroianni,Dark Eyes,Romano
Academy Award for Best Actor,1987(60th),Jack Nicholson,Ironweed,Francis Phelan
Academy Award for Best Actor,1987(60th),Robin Williams,"Good Morning, Vietnam",Adrian Cronauer
Academy Award for Best Actor,1988(61st),Gene Hackman,Mississippi Burning,Agent Rupert Anderson
Academy Award for Best Actor,1988(61st),Tom Hanks,Big,Josh Baskin
Academy Award for Best Actor,1988(61st),Edward James Olmos,Stand and Deliver,Jaime Escalante
Academy Award for Best Actor,1988(61st),Max von Sydow,Pelle the Conqueror,Lassefar
Academy Award for Best Actor,1989(62nd),Kenneth Branagh,Henry V,King Henry V of England
Academy Award for Best Actor,1989(62nd),Tom Cruise,Born on the Fourth of July,Ron Kovic
Academy Award for Best Actor,1989(62nd),Morgan Freeman,Driving Miss Daisy,Hoke Colburn
