File Name,Subject Column,Object Column,Qualifier Column,Property ID,Property Label,Property Qualifier ID,Property Qualifier Label
table_1.csv,2,0,3,,,,
table_2.csv,3,0,2,,,,
table_3.csv,2,0,3,,,,
table_4.csv,5,0,6,,,,
table_5.csv,5,4,2,,,,
table_6.csv,2,0,3,,,,
table_7.csv,2,0,3,,,,
table_8.csv,3,0,2,,,,
table_9.csv,0,2,3,,,,
table_10.csv,3,0,2,,,,
table_11.csv,2,0,3,,,,
table_12.csv,6,4,5,,,,
table_13.csv,2,0,3,,,,
table_14.csv,2,0,1,,,,
table_15.csv,6,3,5,,,,
table_16.csv,2,0,3,,,,
table_17.csv,0,1,3,,,,
table_18.csv,2,0,3,,,,
table_19.csv,3,0,2,,,,
table_20.csv,1,0,3,,,,
table_21.csv,2,4,0,,,,
table_22.csv,3,0,2,,,,
table_23.csv,1,0,3,,,,
table_24.csv,2,0,3,,,,
table_25.csv,2,0,3,,,,
table_26.csv,0,4,2,,,,
table_27.csv,0,2,4,,,,
table_28.csv,3,0,2,,,,
table_29.csv,7,8,4,,,,
table_30.csv,7,8,6,,,,
table_31.csv,3,0,2,,,,
table_32.csv,3,0,2,,,,
table_33.csv,2,0,3,,,,
table_34.csv,2,0,3,,,,
table_35.csv,2,0,3,,,,
table_36.csv,6,3,7,,,,
table_37.csv,2,0,3,,,,
table_38.csv,0,2,3,,,,
table_39.csv,0,2,1,,,,
table_40.csv,3,0,2,,,,
table_41.csv,3,0,2,,,,
table_42.csv,0,2,3,,,,
table_43.csv,3,0,2,,,,
table_44.csv,2,0,3,,,,
table_45.csv,2,0,3,,,,
table_46.csv,3,0,1,,,,
table_47.csv,2,0,3,,,,
table_48.csv,2,0,3,,,,
table_49.csv,2,0,3,,,,
table_50.csv,2,0,3,,,,
table_51.csv,2,0,3,,,,
table_52.csv,3,0,1,,,,
table_53.csv,2,0,3,,,,
table_54.csv,2,0,3,,,,
table_55.csv,3,0,2,,,,
table_56.csv,3,0,2,,,,
table_57.csv,3,0,2,,,,
table_58.csv,2,4,0,,,,
table_59.csv,6,2,4,,,,
table_60.csv,3,0,2,,,,
table_61.csv,0,4,2,,,,
table_62.csv,2,0,3,,,,
table_63.csv,3,0,2,,,,
table_64.csv,3,0,2,,,,
table_65.csv,6,2,5,,,,
table_66.csv,3,0,2,,,,
table_67.csv,3,0,2,,,,
table_68.csv,3,0,2,,,,
table_69.csv,3,0,2,,,,
table_70.csv,3,0,2,,,,
table_71.csv,3,0,8,,,,
table_72.csv,3,0,2,,,,
table_73.csv,2,0,3,,,,
table_74.csv,3,2,4,,,,
table_75.csv,2,0,3,,,,
table_76.csv,3,0,2,,,,
table_77.csv,3,0,2,,,,
table_78.csv,2,0,3,,,,
table_79.csv,2,0,3,,,,
table_80.csv,3,0,2,,,,
