0,1,2,3,4,5,6,7,8
Major League Baseball Most Valuable Player Award,1934,Mickey Cochrane†,Detroit Tigers,C,Dizzy Dean†,St. Louis Cardinals,RHP,
Major League Baseball Most Valuable Player Award,1935,Hank Greenberg†§,Detroit Tigers,1B,Gabby Hartnett†,Chicago Cubs,C,
Major League Baseball Most Valuable Player Award,1937,Charlie Gehringer†,Detroit Tigers,2B,Joe Medwick†,St. Louis Cardinals,OF,
Major League Baseball Most Valuable Player Award,1940,Hank Greenberg†,Detroit Tigers,OF,Frank McCormick,Cincinnati Reds,1B,
Major League Baseball Most Valuable Player Award,1942,Joe Gordon†,New York Yankees,2B,Mort Cooper,St. Louis Cardinals,RHP,
Major League Baseball Most Valuable Player Award,1943,Spud Chandler,New York Yankees,RHP,Stan Musial†,St. Louis Cardinals,OF,
Major League Baseball Most Valuable Player Award,1944,Hal Newhouser†,Detroit Tigers,LHP,Marty Marion,St. Louis Cardinals,SS,
Major League Baseball Most Valuable Player Award,1945,Hal Newhouser†,Detroit Tigers,LHP,Phil Cavarretta,Chicago Cubs,1B,
Major League Baseball Most Valuable Player Award,1948,Lou Boudreau†,Cleveland Indians,SS,Stan Musial†,St. Louis Cardinals,OF,
Major League Baseball Most Valuable Player Award,1950,Phil Rizzuto†,New York Yankees,SS,Jim Konstanty,Philadelphia Phillies,RHP,
Major League Baseball Most Valuable Player Award,1952,Bobby Shantz,Philadelphia Athletics,LHP,Hank Sauer,Chicago Cubs,OF,
Major League Baseball Most Valuable Player Award,1958,Jackie Jensen,Boston Red Sox,OF,Ernie Banks†,Chicago Cubs,SS,
Major League Baseball Most Valuable Player Award,1959,Nellie Fox†,Chicago White Sox,2B,Ernie Banks†,Chicago Cubs,SS,
Major League Baseball Most Valuable Player Award,1963,Elston Howard,New York Yankees,C,Sandy Koufax†,Los Angeles Dodgers,LHP,
Major League Baseball Most Valuable Player Award,1964,Brooks Robinson†,Baltimore Orioles,3B,Ken Boyer,St. Louis Cardinals,3B,
Major League Baseball Most Valuable Player Award,1965,Zoilo Versalles,Minnesota Twins,SS,Willie Mays†,San Francisco Giants,OF,
Major League Baseball Most Valuable Player Award,1967,Carl Yastrzemski†,Boston Red Sox,OF,Orlando Cepeda†§,St. Louis Cardinals,1B,
Major League Baseball Most Valuable Player Award,1968,Denny McLain§,Detroit Tigers,RHP,Bob Gibson†,St. Louis Cardinals,RHP,
Major League Baseball Most Valuable Player Award,1969,Harmon Killebrew†,Minnesota Twins,3B,Willie McCovey†,San Francisco Giants,1B,
