0,1,2,3,4
Academy Award for Best Supporting Actor,2000(73rd),Benicio del Toro,Traffic,Javier Rodríguez
Academy Award for Best Supporting Actor,2000(73rd),Jeff Bridges,The Contender,President Jackson Evans
Academy Award for Best Supporting Actor,2000(73rd),Willem Dafoe,Shadow of the Vampire,Max Schreck
Academy Award for Best Supporting Actor,2000(73rd),Joaquin Phoenix,Gladiator,Commodus
Academy Award for Best Supporting Actor,2001(74th),Jim Broadbent,Iris,John Bayley
Academy Award for Best Supporting Actor,2001(74th),Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,Gandalf
Academy Award for Best Supporting Actor,2001(74th),Jon Voight,Ali,Howard Cosell
Academy Award for Best Supporting Actor,2002(75th),Chris Cooper,Adaptation,John Laroche
Academy Award for Best Supporting Actor,2002(75th),Christopher Walken,Catch Me If You Can,Frank Abagnale Sr.
Academy Award for Best Supporting Actor,2003(76th),Ken Watanabe,The Last Samurai,Lord Moritsugu Katsumoto
Academy Award for Best Supporting Actor,2004(77th),Alan Alda,The Aviator,Senator Owen Brewster
Academy Award for Best Supporting Actor,2004(77th),Thomas Haden Church,Sideways,Jack
Academy Award for Best Supporting Actor,2005(78th),William Hurt,A History of Violence,Richie Cusack
Academy Award for Best Supporting Actor,2006(79th),Djimon Hounsou,Blood Diamond,Solomon Vandy
Academy Award for Best Supporting Actor,2006(79th),Eddie Murphy,Dreamgirls,"James ""Thunder"" Early"
Academy Award for Best Supporting Actor,2007(80th),Philip Seymour Hoffman,Charlie Wilson's War,Gust Avrakotos
Academy Award for Best Supporting Actor,2007(80th),Tom Wilkinson,Michael Clayton,Arthur Edens
Academy Award for Best Supporting Actor,2008(81st),Josh Brolin,Milk,Dan White
Academy Award for Best Supporting Actor,2008(81st),"Robert Downey, Jr.",Tropic Thunder,Kirk Lazarus
Academy Award for Best Supporting Actor,2008(81st),Philip Seymour Hoffman,Doubt,Father Brendan Flynn
Academy Award for Best Supporting Actor,2008(81st),Michael Shannon,Revolutionary Road,John Givings
Academy Award for Best Supporting Actor,2009(82nd),Christoph Waltz,Inglourious Basterds,Col. Hans Landa
Academy Award for Best Supporting Actor,2009(82nd),Matt Damon,Invictus,Francois Pienaar
Academy Award for Best Supporting Actor,2009(82nd),Woody Harrelson,The Messenger,Captain Tony Stone
Academy Award for Best Supporting Actor,2009(82nd),Stanley Tucci,The Lovely Bones,George Harvey
