0,1,2,3,4,5,6,7
Pritzker Architecture Prize,1979,Philip Johnson, United States,,Glass House (1949),Dumbarton Oaks,
Pritzker Architecture Prize,1980,Luis Barragán, Mexico,,Torres de Satélite (1957),Dumbarton Oaks,
Pritzker Architecture Prize,1981,Sir James Stirling, United Kingdom,,Seeley Historical Library (1968),National Building Museum,
Pritzker Architecture Prize,1982,Kevin Roche, Ireland,,Knights of Columbus Building (1969),Art Institute of Chicago,
Pritzker Architecture Prize,1985,Hans Hollein, Austria,,Abteiberg Museum (1982),The Huntington Library,
Pritzker Architecture Prize,1986,Gottfried Böhm, West Germany,,Iglesia Youth Center Library (1968),Worshipful Company of Goldsmiths,
Pritzker Architecture Prize,1987,Kenzō Tange, Japan,,"St. Mary's Cathedral, Tokyo (1964)",Kimbell Art Museum,
Pritzker Architecture Prize,1990,Aldo Rossi, Italy,,Bonnefanten Museum (1990),Palazzo Grassi,
Pritzker Architecture Prize,1991,Robert Venturi, United States,,"National Gallery (London), Sainsbury Wing (1991)",Palacio de Iturbide,
Pritzker Architecture Prize,1992,Álvaro Siza Vieira, Portugal,,Pavilion of Portugal in Expo'98 (1998),Harold Washington Library,
Pritzker Architecture Prize,1993,Fumihiko Maki, Japan,,Tokyo Metropolitan Gymnasium (1991),Prague Castle,
Pritzker Architecture Prize,1994,Christian de Portzamparc, France,,"French Embassy, Berlin (2003)","The Commons, Columbus, Indiana",
Pritzker Architecture Prize,1997,Sverre Fehn, Norway,,Norwegian Glacier Museum (1991),Guggenheim Museum Bilbao,
Pritzker Architecture Prize,1999,Norman Foster, United Kingdom,,Millennium Bridge (London) (2000),Altes Museum,
Pritzker Architecture Prize,2000,Rem Koolhaas, Netherlands,,Casa da Música (2003),Jerusalem Archaeological Park,
Pritzker Architecture Prize,2001,Herzog & de Meuron,  Switzerland,,Tate Modern (2000),Monticello,
Pritzker Architecture Prize,2002,Glenn Murcutt, Australia,,Berowra Waters Inn (1983),Michelangelo's Campidoglio,
Pritzker Architecture Prize,2003,Jørn Utzon, Denmark,,Sydney Opera House (1973),Royal Academy of Fine Arts of San Fernando,
Pritzker Architecture Prize,2005,Thom Mayne, United States,,San Francisco Federal Building (2007),"Pritzker Pavilion, Millennium Park",
Pritzker Architecture Prize,2006,Paulo Mendes da Rocha, Brazil,,"Saint Peter Chapel, São Paulo (1987)",Dolmabahçe Palace,
Pritzker Architecture Prize,2008,Jean Nouvel, France,,Torre Agbar (2005),Library of Congress,
Pritzker Architecture Prize,2009,Peter Zumthor,  Switzerland,,Therme Vals (1996),"Legislative Palace of the City Council, Buenos Aires",
Pritzker Architecture Prize,2011,Eduardo Souto de Moura, Portugal,,"Estádio Municipal de Braga, Braga (2004)",Andrew W. Mellon Auditorium,
Pritzker Architecture Prize,2012,Wang Shu, China,,Ningbo Museum (2008),Beijing,
