0,1,2,3
Amsterdam Airport Schiphol,Adria Airways,Ljubljana ,"B
"
Amsterdam Airport Schiphol,Aer Lingus,"Cork, Dublin ","D
"
Amsterdam Airport Schiphol,Aeroflot,Moscow-Sheremetyevo ,"D, G
"
Amsterdam Airport Schiphol,Air Arabia Maroc,"Nador, Tangier ","D
"
Amsterdam Airport Schiphol,Air Astana,Atyrau ,"D, E
"
Amsterdam Airport Schiphol,Air Europa,Madrid ,"C
"
Amsterdam Airport Schiphol,Air France,"Marseille, Paris-Charles de Gaulle ","C
"
Amsterdam Airport Schiphol,Air France   operated by CityJet ,"Seasonal: Brive, Pau","C
"
Amsterdam Airport Schiphol,Air France   operated by CityJet ,London-City ,"D
"
Amsterdam Airport Schiphol,Air France  operated by Régional ,"Clermont-Ferrand, Lyon, Nantes, Strasbourg ","C
"
Amsterdam Airport Schiphol,Air Malta,Malta ,"B
"
Amsterdam Airport Schiphol,Air Transat," Seasonal: Calgary, Toronto-Pearson, Vancouver ","G
"
Amsterdam Airport Schiphol,AirBaltic,Riga ,"B
"
Amsterdam Airport Schiphol,Alitalia,"Florence, Milan-Linate, Rome-Fiumicino ","B
"
Amsterdam Airport Schiphol,Alitalia  operated by Alitalia CityLiner ,Turin ,"B
"
Amsterdam Airport Schiphol,Arkefly," Antalya, Aruba, Banjul, Boa Vista, Bodrum, Bonaire, Burgas, Cancún, Colombo, Curaçao, Dalaman, Dubai, Eilat-Ovda, Faro, Fortaleza, Goa, Heraklion, Holguín, Hurghada, Larnaca, Las Palmas de Gran Canaria, Luxor, Kathmandu, Kos, Málaga, Miami, Montego Bay, Natal, Orlando-Sanford, Ovda, Paphos, Preveza/Lefkada, Puerto Plata, Puerto Vallarta, Punta Cana, Rhodes, Sal, Sharm el-Sheikh, Tenerife-South, Varadero, Zanzibar  Seasonal: Aqaba, Essaouira, Girona-Costa Brava, Las Vegas, Los Angeles, Malé, Oakland, Ponta Delgada, Pula, Rimini, Split, Terceira, Toronto-Pearson, Venice-Marco Polo ","C, D, G
"
Amsterdam Airport Schiphol,Arkia Israel Airlines,Tel Aviv-Ben Gurion ,"G
"
Amsterdam Airport Schiphol,Armavia,Seasonal: Yerevan ,"D
"
Amsterdam Airport Schiphol,Austrian Airlines,Vienna ,"B
"
Amsterdam Airport Schiphol,Azerbaijan Airlines,Baku ,"D
"
Amsterdam Airport Schiphol,Belavia,Minsk ,"D
"
Amsterdam Airport Schiphol,BH Air,Seasonal: Burgas ," D
"
Amsterdam Airport Schiphol,British Airways,"London-Gatwick, London-Heathrow ","D
"
Amsterdam Airport Schiphol,British Airways   operated by BA CityFlyer ,London-City ,"D
"
Amsterdam Airport Schiphol,Bulgaria Air,Sofia  Seasonal: Burgas ,"D
"
Amsterdam Airport Schiphol,Cathay Pacific,Hong Kong ,"G
"
Amsterdam Airport Schiphol,China Airlines,"Bangkok-Suvarnabhumi, Taipei-Taoyuan ","E, F
"
Amsterdam Airport Schiphol,China Southern Airlines,"Beijing-Capital, Guangzhou ","E, F
"
Amsterdam Airport Schiphol,Corendon Airlines,"Ankara, Antalya, Bodrum, Dalaman, Gazipaşa, Istanbul–Atatürk, Istanbul–Sabiha Gökçen, İzmir, Kayseri, Konya ","D, G
"
Amsterdam Airport Schiphol,Corendon Dutch Airlines,"Antalya, Bodrum, Elazığ, Ercan, Gran Canaria, Hurghada, Istanbul–Sabiha Gökçen, Nador, Tetouan Seasonal: Aqaba, Arrecife, Banjul, Burgas, Eilat–Ovda, Fuerteventura, Heraklion, Málaga, Marrakesh, Marsa Alam, Ohrid, Palma de Mallorca ","D, G
"
Amsterdam Airport Schiphol,Croatia Airlines,"Zagreb  Seasonal: Dubrovnik, Pula, Split ","D
"
Amsterdam Airport Schiphol,Cyprus Airways,Larnaca ,"D
"
Amsterdam Airport Schiphol,Czech Airlines,Prague ,"B, C
"
Amsterdam Airport Schiphol,EasyJet,"Belfast-International, Berlin-Schönefeld, Bristol, Edinburgh, Glasgow-International, Lisbon, Liverpool, London-Gatwick, London-Luton, London-Southend, London-Stansted, Madrid, Manchester (UK), Milan-Malpensa, Prague, Rome-Fiumicino, Split ","H, M
"
Amsterdam Airport Schiphol,EasyJet Switzerland,"Basel/Mulhouse, Geneva ","M
"
Amsterdam Airport Schiphol,EgyptAir,Cairo ,"G
"
Amsterdam Airport Schiphol,El Al,Tel Aviv-Ben Gurion ,"G
"
Amsterdam Airport Schiphol,Emirates,Dubai ,"G
"
Amsterdam Airport Schiphol,Estonian Air,Tallinn ,"B
"
Amsterdam Airport Schiphol,euroLOT,"Gdansk, Kraków ","C, D
"
