0,1,2,3
Academy Award for Best Picture,2010(83rd),The King's Speech,"Iain Canning, Emile Sherman, and Gareth Unwin"
Academy Award for Best Picture,2010(83rd),127 Hours,"Danny Boyle, John Smithson, and Christian Colson"
Academy Award for Best Picture,2010(83rd),Black Swan,"Scott Franklin, Mike Medavoy, and Brian Oliver"
Academy Award for Best Picture,2010(83rd),The Fighter,"David Hoberman, Todd Lieberman, and Mark Wahlberg"
Academy Award for Best Picture,2010(83rd),The Kids Are All Right,"Gary Gilbert, Jeffrey Levy-Hinte, and Celine Rattray"
Academy Award for Best Picture,2010(83rd),The Social Network,"Dana Brunetti, Ceán Chaffin, Michael De Luca, and Scott Rudin"
Academy Award for Best Picture,2010(83rd),Toy Story 3,Darla K. Anderson
Academy Award for Best Picture,2010(83rd),True Grit,"Joel Coen, Ethan Coen, and Scott Rudin"
Academy Award for Best Picture,2010(83rd),Winter's Bone,Alix Madigan and Anne Rosellini
Academy Award for Best Picture,2011(84th),The Artist,Thomas Langmann
Academy Award for Best Picture,2011(84th),The Descendants,"Jim Burke, Alexander Payne, and Jim Taylor"
Academy Award for Best Picture,2011(84th),Extremely Loud & Incredibly Close,Scott Rudin
Academy Award for Best Picture,2011(84th),Midnight in Paris,Letty Aronson and Stephen Tenenbaum
Academy Award for Best Picture,2011(84th),Moneyball,"Michael De Luca, Rachael Horovitz, and Brad Pitt"
Academy Award for Best Picture,2011(84th),The Tree of Life,"Sarah Green, Bill Pohlad, Dede Gardner, and Grant Hill"
Academy Award for Best Picture,2012(85th),Amour,"Margaret Menegoz, Stefan Arndt, Veit Heiduschka, and Michael Katz"
Academy Award for Best Picture,2012(85th),Beasts of the Southern Wild,"Dan Janvey, Josh Penn, and Michael Gottwald"
Academy Award for Best Picture,2012(85th),Django Unchained,"Stacey Sher, Reginald Hudlin, and Pilar Savone"
Academy Award for Best Picture,2012(85th),Les Misérables,"Tim Bevan, Eric Fellner, Debra Hayward, and Cameron Mackintosh"
Academy Award for Best Picture,2012(85th),Silver Linings Playbook,"Donna Gigliotti, Bruce Cohen, and Jonathan Gordon"
Academy Award for Best Picture,2013(86th),American Hustle,"Charles Roven, Richard Suckle, Megan Ellison, and Jonathan Gordon"
Academy Award for Best Picture,2013(86th),Captain Phillips,"Scott Rudin, Dana Brunetti, and Michael De Luca"
Academy Award for Best Picture,2013(86th),Dallas Buyers Club,Robbie Brenner and Rachel Winter
Academy Award for Best Picture,2013(86th),Gravity,Alfonso Cuarón and David Heyman
Academy Award for Best Picture,2013(86th),Her,"Megan Ellison, Spike Jonze, and Vincent Landay"
