0,1,2,3,4
Academy Award for Best Actor,1929/30(3rd),George Arliss,The Green Goddess,The Raja of Rukh
Academy Award for Best Actor,1929/30(3rd),Wallace Beery,The Big House,'Machine Gun' Butch Schmidt
Academy Award for Best Actor,1929/30(3rd),Maurice Chevalier,The Big Pond,Pierre Mirande
Academy Award for Best Actor,1929/30(3rd),Maurice Chevalier,The Love Parade,Count Alfred Renard
Academy Award for Best Actor,1929/30(3rd),Ronald Colman,Bulldog Drummond,Capt. Hugh 'Bulldog' Drummond
Academy Award for Best Actor,1929/30(3rd),Ronald Colman,Condemned,Michel
Academy Award for Best Actor,1929/30(3rd),Lawrence Tibbett,The Rogue Song,Yegor
Academy Award for Best Actor,1930/31(4th),Lionel Barrymore,A Free Soul,Stephen Ashe
Academy Award for Best Actor,1930/31(4th),Adolphe Menjou,The Front Page,Walter Burns
Academy Award for Best Actor,1930/31(4th),Jackie Cooper,Skippy,Skippy Skinner
Academy Award for Best Actor,1930/31(4th),Richard Dix,Cimarron,Yancey Cravat
Academy Award for Best Actor,1930/31(4th),Fredric March,The Royal Family of Broadway,Tony Cavendish
Academy Award for Best Actor,1931/32(5th),Wallace Beery (tie),The Champ,"Andy ""Champ"" Purcell"
Academy Award for Best Actor,1931/32(5th),Fredric March (tie),Dr. Jekyll and Mr. Hyde,Dr. Henry L. Jekyll / Mr. Hyde
Academy Award for Best Actor,Alfred Lunt,The Guardsman,The Actor,None
Academy Award for Best Actor,1932/33(6th),Charles Laughton,The Private Life of Henry VIII,King Henry VIII of England
Academy Award for Best Actor,1932/33(6th),Leslie Howard,Berkeley Square,Peter Standish
Academy Award for Best Actor,1932/33(6th),Paul Muni,I Am a Fugitive from a Chain Gang,James Allen
Academy Award for Best Actor,1934(7th),Clark Gable,It Happened One Night,Peter Warne
Academy Award for Best Actor,1934(7th),Frank Morgan,The Affairs of Cellini,Alessandro - Duke of Florence
Academy Award for Best Actor,1934(7th),William Powell,The Thin Man,Nick Charles
Academy Award for Best Actor,1935(8th),Victor McLaglen,The Informer,Gypo Nolan
Academy Award for Best Actor,1936(9th),Gary Cooper,Mr. Deeds Goes to Town,Longfellow Deeds
Academy Award for Best Actor,1936(9th),Walter Huston,Dodsworth,Sam Dodsworth
Academy Award for Best Actor,1936(9th),William Powell,My Man Godfrey,Godfrey Park
Academy Award for Best Actor,1936(9th),Spencer Tracy,San Francisco,Father Tim Mullin
Academy Award for Best Actor,1937(10th),Spencer Tracy,Captains Courageous,Manuel
Academy Award for Best Actor,1937(10th),Fredric March,A Star Is Born,Norman Maine
Academy Award for Best Actor,1937(10th),Robert Montgomery,Night Must Fall,Danny
Academy Award for Best Actor,1937(10th),Paul Muni,The Life of Emile Zola,Émile Zola
Academy Award for Best Actor,1938(11th),Spencer Tracy,Boys Town,Father Flanagan
Academy Award for Best Actor,1938(11th),Charles Boyer,Algiers,Pepe le Moko
Academy Award for Best Actor,1938(11th),James Cagney,Angels with Dirty Faces,Rocky Sullivan
Academy Award for Best Actor,1938(11th),Robert Donat,The Citadel,Dr. Andrew Manson
Academy Award for Best Actor,1938(11th),Leslie Howard,Pygmalion,Professor Henry Higgins
Academy Award for Best Actor,1939(12th),Robert Donat,"Goodbye, Mr. Chips",Charles Edward Chipping
