0,1,2,3,4
Martin Scorsese,1968,Who's That Knocking at My Door,Director/Writer,
Martin Scorsese,1972,Boxcar Bertha,Director,
Martin Scorsese,1973,Mean Streets,Director/Writer/Producer,Nominated – Writers Guild of America Award for Best Original Screenplay
Martin Scorsese,1974,Alice Doesn't Live Here Anymore,Director,Nominated – BAFTA Award for Best DirectionNominated – Golden Palm
Martin Scorsese,1976,Taxi Driver,Director,Blue Ribbon Awards Best Foreign FilmGolden PalmHochi Film Award Best Foreign FilmKinema Junpo Awards Best Foreign Language DirectorNational Society of Film Critics Award for Best DirectorNominated – BAFTA Award for Best DirectionNominated – Directors Guild of America Award for Outstanding Directing – Feature Film
Martin Scorsese,1977,"New York, New York",Director,
Martin Scorsese,1980,Raging Bull,Director/Writer,Guild of German Art House Cinemas Foreign Film (Ausländischer Film) National Society of Film Critics Award for Best DirectorNominated – Academy Award for Best DirectorNominated – Directors Guild of America Award for Outstanding Directing – Feature FilmNominated – Golden Globe Award for Best Director
Martin Scorsese,1983,The King of Comedy,Director,Nominated – BAFTA Award for Best DirectionNominated – Golden Palm
Martin Scorsese,1985,After Hours,Director,Best Director Award (Cannes Film Festival)Independent Spirit Award for Best DirectorNominated – Golden PalmNominated – César Award for Best Foreign Film
Martin Scorsese,1986,The Color of Money,Director,
Martin Scorsese,1991,Cape Fear,Director,Nominated – Golden Bear at the 42nd Berlin International Film Festival.Nominated – Chicago Film Critics Association Award for Best Director
Martin Scorsese,1991,The Grifters,Producer,Independent Spirit Award for Best Film
Martin Scorsese,1993,The Age of Innocence,Director/Writer,Bodil Award for Best Non-European FilmFotogramas de Plata Best Foreign FilmNational Board of Review Award for Best DirectorVenice Film Festival Audience AwardNominated – Academy Award for Best Writing (Adapted Screenplay)Nominated – Directors Guild of America Award for Outstanding Directing – Feature FilmNominated – Golden Globe Award for Best DirectorNominated – USC Scripter Award Best Screenplay
Martin Scorsese,1995,Casino,Director/Writer,Nominated – Chicago Film Critics Association Award for Best DirectorNominated – Golden Globe Award for Best Director
Martin Scorsese,1997,Kundun,Director,Nominated – Australian Film Institute Award for Best Foreign Language Film
Martin Scorsese,1999,Bringing Out the Dead,Director,Courmayeur Noir Film Festival Jury Prize
Martin Scorsese,2004,The Aviator,Director,BAFTA Award for Best FilmBroadcast Film Critics Association Award for Best DirectorDallas-Fort Worth Film Critics Association Award for Best DirectorKansas City Film Critics Circle Award for Best DirectorLas Vegas Film Critics Society Award for Best DirectorLos Angeles Film Critics Association Award for Best DirectorLondon Film Critics Circle Award for Best DirectorPhoenix Film Critics Society Award for Best DirectorSt. Louis Gateway Film Critics Association Award for Best DirectorNominated – Academy Award for Best DirectorNominated – Directors Guild of America Award for Outstanding Directing – Feature FilmNominated – Directors Guild of Great BritainNominated – BAFTA Award for Best DirectionNominated – Golden Globe Award for Best DirectorNominated – Chicago Film Critics Association Award for Best DirectorNominated – Nastro d’Argento Best Foreign DirectorNominated – Online Film Critics Society Award for Best DirectorNominated – Satellite Award for Best Director
Martin Scorsese,2010,Shutter Island,Director/Producer,"Nominated – National Board of Review NBR Award for Top Ten Films Nominated - Saturn Award for Best Director
Nominated - Saturn Award for Best Horror Film
Nominated – Italian Online Movie Award for Best DirectorNominated – Italian Online Movie Award for Best FilmNominated – Scream Awards for Best DirectorNominated – Scream Awards for Best Horror Movie"
Martin Scorsese,2013,The Wolf of Wall Street,Director,None
