0,1,2,3
Academy Award for Best Picture,1990(63rd),Dances with Wolves,Jim Wilson and Kevin Costner
Academy Award for Best Picture,1990(63rd),Awakenings,Walter Parkes and Lawrence Lasker
Academy Award for Best Picture,1990(63rd),Ghost,Lisa Weinstein
Academy Award for Best Picture,1990(63rd),The Godfather Part III,Francis Ford Coppola
Academy Award for Best Picture,1990(63rd),Goodfellas,Irwin Winkler
Academy Award for Best Picture,1991(64th),The Silence of the Lambs,"Edward Saxon, Kenneth Utt, and Ron Bozman"
Academy Award for Best Picture,1991(64th),Beauty and the Beast,Don Hahn
Academy Award for Best Picture,1991(64th),JFK,A. Kitman Ho and Oliver Stone
Academy Award for Best Picture,1991(64th),The Prince of Tides,Barbra Streisand and Andrew S. Karsch
Academy Award for Best Picture,1992(65th),Unforgiven,Clint Eastwood
Academy Award for Best Picture,1992(65th),The Crying Game,Stephen Woolley
Academy Award for Best Picture,1992(65th),A Few Good Men,"David Brown, Rob Reiner, and Andrew Scheinman"
Academy Award for Best Picture,1992(65th),Howards End,Ismail Merchant
Academy Award for Best Picture,1992(65th),Scent of a Woman,Martin Brest
Academy Award for Best Picture,1993(66th),The Fugitive,Arnold Kopelson
Academy Award for Best Picture,1993(66th),In the Name of the Father,Jim Sheridan
Academy Award for Best Picture,1993(66th),The Piano,Jan Chapman
Academy Award for Best Picture,1994(67th),Forrest Gump,"Wendy Finerman, Steve Tisch, and Steve Starkey"
Academy Award for Best Picture,1994(67th),Four Weddings and a Funeral,Duncan Kenworthy
Academy Award for Best Picture,1994(67th),The Shawshank Redemption,Niki Marvin
Academy Award for Best Picture,1995(68th),Apollo 13,Brian Grazer
Academy Award for Best Picture,1995(68th),Babe,"Bill Miller, George Miller, and Doug Mitchell"
Academy Award for Best Picture,1995(68th),The Postman (Il Postino),"Mario Cecchi Gori, Vittorio Cecchi Gori, and Gaetano Daniele"
Academy Award for Best Picture,1995(68th),Sense and Sensibility,Lindsay Doran
Academy Award for Best Picture,1996(69th),Fargo,Ethan Coen
Academy Award for Best Picture,1996(69th),Secrets & Lies,Simon Channing-Williams
Academy Award for Best Picture,1996(69th),Shine,Jane Scott
Academy Award for Best Picture,1997(70th),As Good as It Gets,"James L. Brooks, Bridget Johnson, and Kristi Zea"
Academy Award for Best Picture,1997(70th),The Full Monty,Uberto Pasolini
Academy Award for Best Picture,1997(70th),L.A. Confidential,"Curtis Hanson, Arnon Milchan, and Michael Nathanson"
Academy Award for Best Picture,1998(71st),Elizabeth,"Alison Owen, Eric Fellner and Tim Bevan"
Academy Award for Best Picture,1998(71st),Life Is Beautiful,Elda Ferri and Gianluigi Braschi
Academy Award for Best Picture,1998(71st),The Thin Red Line,"Robert Michael Geisler, John Roberdeau, and Grant Hill"
Academy Award for Best Picture,1999(72nd),American Beauty,Bruce Cohen and Dan Jinks
Academy Award for Best Picture,1999(72nd),The Cider House Rules,Richard N. Gladstein
